1989,February,Corporation Tax,16714
1989,February,Valued Added Tax,156723
1989,February,Training and Employment Levy,10623
1989,February,Motor Vehicle Duties,16901
1989,March,Customs,7999
1989,March,Excise Duty,169835
1989,March,Capital Gains Tax,5966
1989,March,Stamps,31290
1989,March,Income Tax,255580
1989,March,Corporation Tax,18550
1989,March,Valued Added Tax,239329
1989,March,Training and Employment Levy,10472
1989,March,Motor Vehicle Duties,16637
1989,April,Customs,15999
1989,April,Excise Duty,155493
1989,April,Capital Gains Tax,5636
1989,April,Stamps,15523
1989,April,Income Tax,299362
1989,April,Corporation Tax,23159
1989,April,Valued Added Tax,146036
1989,April,Training and Employment Levy,10104
1989,April,Motor Vehicle Duties,15488
1989,May,Customs,21839
1989,May,Excise Duty,162862
1989,May,Capital Gains Tax,5761
1989,May,Stamps,29448
1989,May,Income Tax,291721
1989,May,Corporation Tax,12724
1989,May,Valued Added Tax,245668
1989,May,Training and Employment Levy,14537
1989,May,Motor Vehicle Duties,17721
1989,June,Customs,17141
1989,June,Excise Duty,163354
1989,June,Capital Gains Tax,4312
1989,June,Stamps,22511
1989,June,Income Tax,245550
1989,June,Corporation Tax,16048
1989,June,Valued Added Tax,149799
1989,June,Training and Employment Levy,12052
1989,June,Motor Vehicle Duties,16535
1989,July,Customs,15237
1989,July,Excise Duty,170424
1989,July,Capital Gains Tax,4208
1989,July,Stamps,30428
1989,July,Income Tax,299835
1989,July,Corporation Tax,55472
1989,July,Valued Added Tax,263859
1989,July,Training and Employment Levy,15841
1989,July,Motor Vehicle Duties,15663
1989,August,Customs,14221
1989,August,Excise Duty,183743
1989,August,Capital Gains Tax,4863
1989,August,Stamps,37481
1989,August,Income Tax,276341
1989,August,Corporation Tax,73726
1989,August,Valued Added Tax,136557
1989,August,Training and Employment Levy,12016
1989,August,Motor Vehicle Duties,15149
1989,September,Customs,13205
1989,September,Excise Duty,177612
1989,September,Capital Gains Tax,9146
1989,September,Stamps,70709
1989,September,Income Tax,251175
1989,September,Corporation Tax,34330
1989,September,Valued Added Tax,271008
1989,September,Training and Employment Levy,13519
1989,September,Motor Vehicle Duties,13272
1989,October,Customs,11682
1989,October,Excise Duty,165800
1989,October,Capital Gains Tax,12864
1989,October,Stamps,21890
1989,October,Income Tax,429057
1989,October,Corporation Tax,59407
1989,October,Valued Added Tax,186758
1989,October,Training and Employment Levy,11623
1989,October,Motor Vehicle Duties,15512
1989,November,Customs,5587
1989,November,Excise Duty,186372
1989,November,Capital Gains Tax,5560
1989,November,Stamps,23589
1989,November,Income Tax,433368
1989,November,Corporation Tax,38374
1989,November,Valued Added Tax,235488
1989,November,Training and Employment Levy,21467
1989,November,Motor Vehicle Duties,13675
1989,December  ,Customs,19300
